freq,citizen,sex,unit,age,asyl_app,geo\TIME_PERIOD	2013	2014	2015	2016	2017	2018	2019	2020
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT	17500	28035	88160	42255	24715	13710	12860	14180
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE	21030	22710	44665	18280	18340	22530	27460	16710
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG	7145	11080	20390	19420	3695	2535	2150	3525
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH	21305	23560	39445	27140	18015	15160	14195	10990
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CY	1255	1745	2265	2940	4600	7765	13650	7440
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CZ	695	1145	1515	1475	1445	1690	1915	1160
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DE	126705	202645	476510	745160	222565	184180	165615	121955
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DK	7170	14680	20935	6180	3220	3570	2700	1475
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EE	95	155	230	175	190	95	105	50
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EL	8225	9430	13205	51110	58650	66965	77275	40560
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ES	4485	5615	14780	15755	36610	54050	117800	88530
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EU27_2020	400515	594180	1282690	1221185	677470	625575	698760	471630
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EU28	431100	626965	1322850	1260920	712250	664410	744810	: 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FI	3210	3620	32345	5605	4995	4500	4520	3190
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FR	66265	64310	76165	84270	99330	137665	151070	93470
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HR	1080	450	210	2225	975	800	1400	1605
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HU	18895	42775	177135	29430	3390	670	500	115
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IE	945	1450	3275	2245	2930	3670	4780	1565
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IS	125	170	370	1125	1085	775	845	640
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IT	26620	64625	83540	122960	128850	59950	43770	26535
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LI	55	65	150	80	150	165	50	35
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LT	400	440	315	430	545	405	645	315
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LU	1070	1150	2505	2160	2430	2335	2270	1345
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LV	195	375	330	350	355	185	195	180
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,MT	2250	1350	1845	1930	1840	2130	4090	2480
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NL	13065	24495	44970	20945	18210	24025	25200	15255
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NO	11930	11415	31115	3490	3520	2660	2265	1375
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PL	15240	8020	12190	12305	5045	4110	4070	2785
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PT	500	440	895	1460	1750	1285	1820	1000
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,RO	1495	1545	1260	1880	4815	2135	2590	6155
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SE	54270	81185	162450	28795	26330	21560	26255	16225
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SI	270	385	275	1310	1475	2875	3820	3550
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SK	440	330	330	145	160	175	230	280
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,UK	30585	32785	40160	39735	34780	38840	46055	36041
