Id,Label,Group
0,love,B
1,alien,B
2,immigrant,A
3,free,A
4,brexit,B
5,trip,B
6,humanright,B
7,find,B
8,day,B
9,europeanunion,B
10,country,B
11,news,B
12,problem,B
13,night,B
14,humanright,B
15,photography,B
16,asylum,B
17,back,B
18,benefits,A
19,travel,B
20,health,B
21,live,B
22,policy,A
23,migrant,A
24,france,B
25,situation,B
26,home,B
27,illegal,A
28,migration,B
29,uk,B
30,venezuela,B
31,art,B
32,place,B
33,spain,B
34,european,B
35,great,B
36,europe,B
37,hate,B
38,syria,A
39,community,B
40,time,B
41,city,B
42,border,B
43,world,B
44,man,B
45,work,B
46,refugee,A
47,social_media,B
48,iameuropean,A
49,refugee_crisis,A
